Date,P_wp,P_eaf,COE_agora,f_emiss_spc
8340,2019-12-14 12:00:00,0.6506217928736789,0.6203703703703703,24.0,588.8189387705166
8341,2019-12-14 13:00:00,0.5777152983989392,0.5898148148148149,15.0,598.7818589019888
8342,2019-12-14 14:00:00,0.5148687928340672,0.5824074074074074,16.0,620.0899188732524
8343,2019-12-14 15:00:00,0.40722532273871864,0.6185185185185186,17.0,638.5879761264393
8344,2019-12-14 16:00:00,0.39886843159691837,0.5916666666666667,24.0,646.8246576006284
8345,2019-12-14 17:00:00,0.43188225536960045,0.5898148148148148,28.0,645.8966737637999
8346,2019-12-14 18:00:00,0.32261740071924866,0.6111111111111112,29.0,644.3599337096389
8347,2019-12-14 19:00:00,0.29271225742752766,0.5916666666666667,26.0,646.0466647921393
8348,2019-12-14 20:00:00,0.2930903383188262,0.6046296296296296,14.0,646.0857733655318
8349,2019-12-14 21:00:00,0.17504610546921365,0.5962962962962963,16.0,650.106920828757
8350,2019-12-14 22:00:00,0.13669441439930383,0.5916666666666667,18.0,649.7987391804149
8351,2019-12-14 23:00:00,0.07291081384708682,0.6194444444444445,4.0,646.2045827720295
8352,2019-12-15 00:00:00,0.045300094572603,0.5814814814814815,0.0,644.8272655769998
8353,2019-12-15 01:00:00,0.0273641513754125,0.5916666666666667,2.0,648.4903488029485
8354,2019-12-15 02:00:00,0.0096607254329035,0.625,2.0,650.1729676923047
8355,2019-12-15 03:00:00,0.03325451589954867,0.575925925925926,4.0,654.1860457980189
8356,2019-12-15 04:00:00,0.033286046708569335,0.5916666666666667,2.0,663.0919418275698
8357,2019-12-15 05:00:00,0.03200367572688367,0.6231481481481481,1.0,667.6325875119725
8358,2019-12-15 06:00:00,0.025485503760685497,0.5777777777777778,-5.0,665.5369060354444
8359,2019-12-15 07:00:00,0.007114717359207483,0.5916666666666667,-5.0,659.2513535925387
8360,2019-12-15 08:00:00,0.006225863461719334,0.6212962962962963,0.0,654.6308756759964
8361,2019-12-15 09:00:00,0.010053445217812667,0.5796296296296296,0.0,644.7342180716428
8362,2019-12-15 10:00:00,0.007476058047581666,0.5916666666666667,-1.0,634.6319460413017
8363,2019-12-15 11:00:00,0.03745808931821883,0.6194444444444445,8.0,624.9039797982817
8364,2019-12-15 12:00:00,0.10690701496443766,0.5814814814814815,6.0,620.2834903668751
8365,2019-12-15 13:00:00,0.10899403950510833,0.5916666666666667,5.0,626.4508404522336
8366,2019-12-15 14:00:00,0.10690898638987634,0.6185185185185186,10.0,638.9290112520424
8367,2019-12-15 15:00:00,0.2252875215968828,0.5824074074074074,21.0,649.0661427519758
8368,2019-12-15 16:00:00,0.28343464651561884,0.5990740740740741,27.0,654.0608637436485
8369,2019-12-15 17:00:00,0.356532500097539,0.6111111111111112,34.0,650.4379004977894
8370,2019-12-15 18:00:00,0.3665917230741002,0.5824074074074074,31.0,647.0832084763529
8371,2019-12-15 19:00:00,0.412195840529279,0.6138888888888889,36.0,641.870856573606
8372,2019-12-15 20:00:00,0.5295749996439921,0.5962962962962963,34.0,642.3684734213841
8373,2019-12-15 21:00:00,0.6104529616660528,0.5824074074074074,29.0,642.5431480233766
8374,2019-12-15 22:00:00,0.6566499507042687,0.6287037037037038,33.0,643.0793788165038
8375,2019-12-15 23:00:00,0.6431724208870787,0.5814814814814815,30.0,638.3035626648852
8376,2019-12-16 00:00:00,0.6323900396179624,0.5824074074074074,29.0,630.2619032334693
8377,2019-12-16 01:00:00,0.7205101106380377,0.625,30.0,627.603520456613
8378,2019-12-16 02:00:00,0.7329254529565777,0.5851851851851851,31.0,619.7252701456133
8379,2019-12-16 03:00:00,0.7753778297389712,0.5824074074074074,29.0,611.8592584434973
